Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,DOB Year,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Artturi Lehkonen,L,1995-07-04,0,396,74,75,149,104,0:15,15:00,1.8,66,51,15,0.67,0.52,0.15,51,0,0,0,0,L,L,1995-07-04,1995,Piikkio,--,FIN,FIN,71,179,2013,2,55,20162017,2016,N,396,74,75,149
Danton Heinen,L,1995-07-05,0,333,58,90,148,58,0:10,14:16,1.2,43,29,14,0.54,0.37,0.18,29,0,0,0,0,L,L,1995-07-05,1995,Langley,BC,CAN,CAN,73,188,2014,4,116,20162017,2016,N,333,58,90,148
Trevor Murphy,D,1995-07-17,0,8,1,2,3,0,0:00,14:14,0,1,0,1,0.53,0,0.53,0,0,0,0,0,L,D,1995-07-17,1995,Windsor,ON,CAN,CAN,70,180,--,--,--,20172018,2017,N,8,1,2,3
Victor Olofsson,L,1995-07-18,0,172,47,61,108,20,0:06,17:06,0.7,12,10,2,0.24,0.2,0.04,10,0,0,0,0,L,L,1995-07-18,1995,Ornskoldsvik,--,SWE,SWE,71,182,2014,7,181,20182019,2018,N,173,49,62,111
Tobias Lindberg,R,1995-07-22,0,6,0,2,2,4,0:40,15:50,4.2,0,1,-1,0,0.63,-0.63,1,0,0,0,0,L,R,1995-07-22,1995,Stockholm,--,SWE,SWE,75,215,2013,4,102,20152016,2015,N,6,0,2,2
Grant Hutton,D,1995-07-25,0,6,0,0,0,0,0:00,15:30,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1995-07-25,1995,Carmel,IN,USA,USA,76,207,--,--,--,20212022,2021,N,6,0,0,0
Hudson Fasching,R,1995-07-28,0,35,1,2,3,8,0:13,10:00,2.3,3,4,-1,0.51,0.69,-0.17,4,0,0,0,0,R,R,1995-07-28,1995,Milwaukee,WI,USA,USA,75,204,2013,4,118,20152016,2015,N,35,1,2,3
Gage Quinney,C,1995-07-29,0,3,0,1,1,0,0:00,9:42,0,2,0,2,4.12,0,4.12,0,0,0,0,0,L,C,1995-07-29,1995,Las Vegas,NV,USA,USA,71,200,--,--,--,20192020,2019,N,3,0,1,1
Marc Michaelis,L,1995-07-31,0,15,0,0,0,2,0:08,9:04,1.5,0,1,-1,0,0.44,-0.44,1,0,0,0,0,L,L,1995-07-31,1995,Mannheim,--,DEU,DEU,71,187,--,--,--,20202021,2020,N,15,0,0,0
Peter Cehlarik,L,1995-08-02,0,40,5,6,11,10,0:15,13:03,1.9,3,5,-2,0.34,0.57,-0.23,5,0,0,0,0,L,L,1995-08-02,1995,Zilina,--,SVK,SVK,74,202,2013,3,90,20162017,2016,N,40,5,6,11
Nick Baptiste,R,1995-08-04,0,47,7,3,10,20,0:25,9:45,4.4,5,10,-5,0.65,1.31,-0.65,10,0,0,0,0,R,R,1995-08-04,1995,Ottawa,ON,CAN,CAN,73,203,2013,3,69,20162017,2016,N,47,7,3,10
Sheldon Rempal,R,1995-08-07,0,11,0,0,0,0,0:00,8:39,0,3,0,3,1.89,0,1.89,0,0,0,0,0,R,R,1995-08-07,1995,Calgary,AB,CAN,CAN,70,165,--,--,--,20182019,2018,N,11,0,0,0
Joel L'Esperance,R,1995-08-18,0,33,5,0,5,10,0:18,10:46,2.8,2,5,-3,0.34,0.84,-0.51,5,0,0,0,0,R,R,1995-08-18,1995,Brighton,MI,USA,USA,74,210,--,--,--,20182019,2018,N,33,5,0,5
Dominik Kubalik,L,1995-08-21,0,189,59,48,107,46,0:14,14:47,1.7,28,22,6,0.6,0.47,0.13,22,0,0,0,0,L,L,1995-08-21,1995,Plzen,--,CZE,CZE,74,179,2013,7,191,20192020,2019,N,190,59,50,109
Aleksander Barkov,C,1995-09-02,0,581,209,320,529,108,0:11,20:01,0.9,153,54,99,0.79,0.28,0.51,54,0,0,0,0,L,C,1995-09-02,1995,Tampere,--,FIN,FIN,75,215,2013,1,2,20132014,2013,N,581,209,320,529
Corey Schueneman,D,1995-09-02,0,16,1,3,4,8,0:30,16:18,3.1,3,4,-1,0.69,0.92,-0.23,4,0,0,0,0,L,D,1995-09-02,1995,Milford,MI,USA,USA,72,196,--,--,--,20212022,2021,N,16,1,3,4
Lucas Wallmark,C,1995-09-05,0,187,23,36,59,64,0:20,13:13,2.6,24,32,-8,0.58,0.78,-0.19,32,0,0,0,0,L,C,1995-09-05,1995,Umea,--,SWE,SWE,72,178,2014,4,97,20162017,2016,N,187,23,36,59
Michael Bunting,L,1995-09-17,0,91,31,33,64,68,0:44,15:35,4.8,41,30,11,1.73,1.27,0.47,29,0,0,1,0,L,L,1995-09-17,1995,Scarborough,ON,CAN,CAN,72,186,2014,4,117,20182019,2018,N,91,31,33,64
Brett Lernout,D,1995-09-24,0,21,0,1,1,6,0:17,16:27,1.7,0,3,-3,0,0.52,-0.52,3,0,0,0,0,R,D,1995-09-24,1995,Winnipeg,MB,CAN,CAN,76,214,2014,3,73,20152016,2015,N,21,0,1,1
Artem Zub,D,1995-10-03,0,112,8,26,34,70,0:37,20:14,3.1,10,34,-24,0.26,0.9,-0.64,34,0,0,0,0,R,D,1995-10-03,1995,Khabarovsk,--,RUS,RUS,74,202,--,--,--,20202021,2020,N,112,8,26,34
Vladimir Tkachev,L,1995-10-05,0,4,0,2,2,2,0:30,13:59,3.6,0,1,-1,0,1.07,-1.07,1,0,0,0,0,R,L,1995-10-05,1995,Omsk,--,RUS,RUS,70,165,--,--,--,20212022,2021,N,4,0,2,2
Nikolay Goldobin,R,1995-10-07,0,125,19,27,46,24,0:11,13:27,1.4,20,12,8,0.71,0.43,0.29,12,0,0,0,0,L,R,1995-10-07,1995,Moscow,--,RUS,RUS,71,196,2014,1,27,20152016,2015,N,125,19,27,46
Chase DeLeo,C,1995-10-25,0,7,0,0,0,0,0:00,10:52,0,2,0,2,1.58,0,1.58,0,0,0,0,0,L,C,1995-10-25,1995,La Mirada,CA,USA,USA,69,185,2014,4,99,20152016,2015,N,7,0,0,0
Leon Draisaitl,C,1995-10-27,0,544,246,354,600,206,0:22,20:17,1.9,153,102,51,0.83,0.55,0.28,102,0,0,0,0,L,C,1995-10-27,1995,Cologne,--,DEU,DEU,74,208,2014,1,3,20142015,2014,N,545,247,355,602
Cole Smith,L,1995-10-28,0,9,0,0,0,0,0:00,8:30,0,1,0,1,0.78,0,0.78,0,0,0,0,0,L,L,1995-10-28,1995,Brainerd,MN,USA,USA,75,195,--,--,--,20202021,2020,N,9,0,0,0
Ondrej Kase,R,1995-11-08,0,257,57,67,124,62,0:14,14:11,1.7,62,31,31,1.02,0.51,0.51,31,0,0,0,0,R,R,1995-11-08,1995,Kadan,--,CZE,CZE,72,187,2014,7,205,20162017,2016,N,257,57,67,124
Vladislav Gavrikov,D,1995-11-21,0,188,10,47,57,80,0:25,20:08,2.1,16,39,-23,0.25,0.62,-0.36,39,0,0,0,0,L,D,1995-11-21,1995,Yaroslavl,--,RUS,RUS,75,213,2015,6,159,20192020,2019,N,188,10,47,57
Julius Honka,D,1995-12-03,0,87,2,11,13,28,0:19,13:57,2.3,9,13,-4,0.44,0.64,-0.2,13,0,0,0,0,R,D,1995-12-03,1995,Jyväskylä,--,FIN,FIN,71,180,2014,1,14,20162017,2016,N,87,2,11,13
Max Veronneau,R,1995-12-12,0,16,2,2,4,0,0:00,11:29,0,1,0,1,0.33,0,0.33,0,0,0,0,0,R,R,1995-12-12,1995,Ottawa,ON,CAN,CAN,73,193,--,--,--,20182019,2018,N,16,2,2,4
Joe Snively,C,1996-01-01,0,12,4,3,7,2,0:10,11:33,1.4,1,1,0,0.43,0.43,0,1,0,0,0,0,L,C,1996-01-01,1996,Herndon,VA,USA,USA,69,176,--,--,--,20212022,2021,N,12,4,3,7
Lawrence Pilut,D,1995-12-30,0,46,1,5,6,24,0:31,17:05,3.1,7,8,-1,0.53,0.61,-0.08,7,0,0,1,0,L,D,1995-12-30,1995,Tingsryd,--,SWE,SWE,71,194,--,--,--,20182019,2018,N,46,1,5,6
Nikita Scherbak,R,1995-12-30,0,37,6,2,8,10,0:16,12:31,2.2,5,5,0,0.65,0.65,0,5,0,0,0,0,L,R,1995-12-30,1995,Moscow,--,RUS,RUS,74,192,2014,1,26,20162017,2016,N,37,6,2,8
Don Ashby,C,1955-03-08,0,188,40,56,96,40,0:12,--,--,--,20,--,--,--,--,20,0,0,0,0,L,C,1955-03-08,1955,Kamloops,BC,CAN,CAN,73,185,1975,1,6,19751976,1975,N,188,40,56,96
Mason Appleton,C,1996-01-15,0,191,26,34,60,52,0:16,12:27,2.2,32,21,11,0.81,0.53,0.28,20,0,0,1,0,R,C,1996-01-15,1996,Green Bay,WI,USA,USA,74,193,2015,6,168,20182019,2018,N,191,26,34,60
Joshua Ho-Sang,R,1996-01-22,0,53,7,17,24,20,0:22,15:11,2.5,18,9,9,1.34,0.67,0.67,9,0,0,0,0,R,R,1996-01-22,1996,Toronto,ON,CAN,CAN,71,190,2014,1,28,20162017,2016,N,53,7,17,24
Lukas Vejdemo,C,1996-01-25,0,13,2,0,2,0,0:00,9:13,0,1,0,1,0.5,0,0.5,0,0,0,0,0,L,C,1996-01-25,1996,Stockholm,--,SWE,SWE,73,198,2015,3,87,20192020,2019,N,13,2,0,2
Blake Hillman,D,1996-01-26,0,4,1,0,1,0,0:00,18:01,0,0,0,0,0,0,0,0,0,0,0,0,L,D,1996-01-26,1996,Elk River,MN,USA,USA,73,193,2016,6,173,20172018,2017,N,4,1,0,1
Juho Lammikko,L,1996-01-29,0,144,11,14,25,30,0:12,11:20,1.8,14,15,-1,0.51,0.55,-0.04,15,0,0,0,0,L,L,1996-01-29,1996,Noormarkku,--,FIN,FIN,74,191,2014,3,65,20182019,2018,N,145,11,15,26
Christian Dvorak,L,1996-02-02,0,342,75,90,165,92,0:16,16:38,1.6,55,42,13,0.58,0.44,0.14,41,0,0,1,0,L,L,1996-02-02,1996,Palos,IL,USA,USA,73,200,2014,2,58,20162017,2016,N,342,75,90,165
Mitch Reinke,D,1996-02-04,0,1,0,0,0,0,0:00,13:05,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-02-04,1996,Stillwater,MN,USA,USA,71,181,--,--,--,20172018,2017,N,1,0,0,0
Alexander Yelesin,D,1996-02-07,0,4,0,0,0,0,0:00,12:29,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-02-07,1996,Yaroslavl,--,RUS,RUS,72,195,--,--,--,20192020,2019,N,4,0,0,0
Ryan MacInnis,C,1996-02-14,0,27,0,1,1,0,0:00,9:44,0,2,0,2,0.46,0,0.46,0,0,0,0,0,L,C,1996-02-14,1996,St. Louis,MO,USA,USA,76,201,2014,2,43,20192020,2019,N,27,0,1,1
Josh Jacobs,D,1996-02-15,0,3,0,0,0,2,0:40,16:01,4.2,0,1,-1,0,1.25,-1.25,1,0,0,0,0,R,D,1996-02-15,1996,Shelby Township,MI,USA,USA,74,200,2014,2,41,20182019,2018,N,3,0,0,0
Jake Walman,D,1996-02-20,0,61,4,4,8,14,0:13,13:20,1.7,7,7,0,0.52,0.52,0,7,0,0,0,0,L,D,1996-02-20,1996,Toronto,ON,CAN,CAN,74,215,2014,3,82,20192020,2019,N,61,4,4,8
Maxim Letunov,C,1996-02-20,0,3,1,0,1,0,0:00,9:04,0,0,0,0,0,0,0,0,0,0,0,0,L,C,1996-02-20,1996,Moscow,--,RUS,RUS,76,180,2014,2,52,20192020,2019,N,3,1,0,1
Nick Schmaltz,C,1996-02-23,0,347,74,153,227,74,0:12,16:30,1.3,68,37,31,0.71,0.39,0.32,37,0,0,0,0,R,C,1996-02-23,1996,Madison,WI,USA,USA,72,181,2014,1,20,20162017,2016,N,348,74,153,227
Dominic Turgeon,C,1996-02-25,0,9,0,0,0,2,0:13,10:43,2.1,0,1,-1,0,0.62,-0.62,1,0,0,0,0,L,C,1996-02-25,1996,Pointe-Claire,QC,CAN,CAN,74,203,2014,3,63,20172018,2017,N,9,0,0,0
Matthew Highmore,C,1996-02-27,0,130,11,14,25,26,0:12,11:28,1.7,27,13,14,1.09,0.52,0.56,13,0,0,0,0,L,C,1996-02-27,1996,Halifax,NS,CAN,CAN,71,188,--,--,--,20172018,2017,N,130,11,14,25
Darren Raddysh,D,1996-02-28,0,4,0,0,0,0,0:00,10:40,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-02-28,1996,Toronto,ON,CAN,CAN,73,200,--,--,--,20212022,2021,N,4,0,0,0
Rhett Gardner,C,1996-02-28,0,40,1,1,2,10,0:15,9:48,2.6,8,5,3,1.22,0.76,0.46,5,0,0,0,0,L,C,1996-02-28,1996,Moose Jaw,SK,CAN,CAN,75,210,2016,4,116,20192020,2019,N,40,1,1,2
Anthony Angello,R,1996-03-06,0,28,3,2,5,12,0:25,7:14,5.9,2,6,-4,0.59,1.78,-1.18,6,0,0,0,0,R,R,1996-03-06,1996,Albany,NY,USA,USA,77,210,2014,5,145,20192020,2019,N,28,3,2,5
Conor Garland,R,1996-03-11,0,226,61,70,131,90,0:23,15:13,2.6,81,40,41,1.41,0.7,0.71,39,0,0,1,0,R,R,1996-03-11,1996,Scituate,MA,USA,USA,70,165,2015,5,123,20182019,2018,N,227,61,70,131
Chase Priskie,D,1996-03-19,0,4,0,0,0,2,0:30,14:00,3.6,1,1,0,1.07,1.07,0,1,0,0,0,0,R,D,1996-03-19,1996,Pembroke Pines,FL,USA,USA,72,185,2016,6,177,20212022,2021,N,4,0,0,0
Joel Kiviranta,L,1996-03-23,0,85,8,10,18,20,0:14,10:24,2.3,6,10,-4,0.41,0.68,-0.27,10,0,0,0,0,L,L,1996-03-23,1996,Vantaa,--,FIN,FIN,71,180,--,--,--,20192020,2019,N,85,8,10,18
Clark Bishop,C,1996-03-29,0,47,1,7,8,20,0:25,9:03,4.7,10,10,0,1.41,1.41,0,10,0,0,0,0,L,C,1996-03-29,1996,St. John's,NL,CAN,CAN,73,197,2014,5,127,20182019,2018,N,47,1,7,8
Warren Foegele,L,1996-04-01,0,266,43,47,90,92,0:20,13:16,2.6,67,46,21,1.14,0.78,0.36,46,0,0,0,0,L,L,1996-04-01,1996,Markham,ON,CAN,CAN,74,198,2014,3,67,20172018,2017,N,267,44,47,91
Rourke Chartier,C,1996-04-03,0,13,1,0,1,2,0:09,9:24,1.6,3,1,2,1.47,0.49,0.98,1,0,0,0,0,L,C,1996-04-03,1996,Saskatoon,SK,CAN,CAN,71,190,2014,5,149,20182019,2018,N,13,1,0,1
Andrew Mangiapane,L,1996-04-04,0,243,73,49,122,84,0:20,14:11,2.4,51,37,14,0.89,0.64,0.24,36,0,0,1,0,L,L,1996-04-04,1996,Toronto,ON,CAN,CAN,70,184,2015,6,166,20172018,2017,N,243,73,49,122
Christoffer Ehn,C,1996-04-05,0,114,5,8,13,8,0:04,10:31,0.7,16,4,12,0.8,0.2,0.6,4,0,0,0,0,L,C,1996-04-05,1996,Skara,--,SWE,SWE,75,195,2014,4,106,20182019,2018,N,114,5,8,13
Steven Lorentz,C,1996-04-13,0,103,9,11,20,16,0:09,10:49,1.4,9,8,1,0.48,0.43,0.05,8,0,0,0,0,L,C,1996-04-13,1996,Kitchener,ON,CAN,CAN,76,206,2015,7,186,20202021,2020,N,103,9,11,20
Brendan Perlini,L,1996-04-27,0,262,50,31,81,92,0:21,12:42,2.8,29,41,-12,0.52,0.74,-0.22,40,0,0,1,0,L,L,1996-04-27,1996,Guildford,--,GBR,GBR,75,211,2014,1,12,20162017,2016,N,262,50,31,81
Radim Zohorna,L,1996-04-29,0,24,4,6,10,8,0:20,9:56,3.4,2,4,-2,0.5,1.01,-0.5,4,0,0,0,0,L,L,1996-04-29,1996,Havlickuv,--,CZE,CZE,78,220,--,--,--,20202021,2020,N,24,4,6,10
Olle Alsing,D,1996-05-01,0,4,0,0,0,0,0:00,10:49,0,0,0,0,0,0,0,0,0,0,0,0,L,D,1996-05-01,1996,Uppsala,--,SWE,SWE,71,170,--,--,--,20202021,2020,N,4,0,0,0
William Nylander,R,1996-05-01,0,423,127,195,322,102,0:14,16:52,1.4,76,50,26,0.64,0.42,0.22,50,0,0,0,0,R,R,1996-05-01,1996,Calgary,AB,CAN,SWE,72,202,2014,1,8,20152016,2015,N,423,127,195,322
Joe Hicketts,D,1996-05-04,0,22,0,5,5,4,0:10,18:13,1,4,2,2,0.6,0.3,0.3,2,0,0,0,0,L,D,1996-05-04,1996,Kamloops,BC,CAN,CAN,68,176,--,--,--,20172018,2017,N,22,0,5,5
Adam Brooks,C,1996-05-06,0,38,6,5,11,2,0:03,9:33,0.6,3,1,2,0.5,0.17,0.33,1,0,0,0,0,L,C,1996-05-06,1996,Winnipeg,MB,CAN,CAN,72,179,2016,4,92,20192020,2019,N,38,6,5,11
Sonny Milano,L,1996-05-12,0,182,34,43,77,42,0:13,13:05,1.8,34,21,13,0.86,0.53,0.33,21,0,0,0,0,L,L,1996-05-12,1996,Massapequa,NY,USA,USA,72,194,2014,1,16,20152016,2015,N,182,34,43,77
Michael Amadio,C,1996-05-13,0,215,23,30,53,36,0:10,11:29,1.5,25,18,7,0.61,0.44,0.17,18,0,0,0,0,R,C,1996-05-13,1996,Sault Ste. Marie,ON,CAN,CAN,74,205,2014,3,90,20172018,2017,N,215,23,30,53
Louie Belpedio,D,1996-05-14,0,4,0,2,2,0,0:00,14:00,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-05-14,1996,Skokie,IL,USA,USA,71,197,2014,3,80,20172018,2017,N,4,0,2,2
Jalen Chatfield,D,1996-05-15,0,34,0,4,4,20,0:35,14:04,4.2,3,10,-7,0.38,1.25,-0.88,10,0,0,0,0,R,D,1996-05-15,1996,Ypsilanti,MI,USA,USA,73,188,--,--,--,20202021,2020,N,34,0,4,4
Linus Sandin,R,1996-05-19,0,1,0,0,0,0,0:00,6:59,0,0,0,0,0,0,0,0,0,0,0,0,R,R,1996-05-19,1996,Uppsala,--,SWE,SWE,73,209,--,--,--,20212022,2021,N,1,0,0,0
Michael Carcone,L,1996-05-19,0,5,1,0,1,0,0:00,12:06,0,0,0,0,0,0,0,0,0,0,0,0,L,L,1996-05-19,1996,Ajax,ON,CAN,CAN,69,170,--,--,--,20212022,2021,N,6,1,0,1
Pius Suter,C,1996-05-24,0,121,27,28,55,32,0:15,16:35,1.6,13,15,-2,0.39,0.45,-0.06,15,0,0,0,0,L,C,1996-05-24,1996,Zurich,--,CHE,CHE,71,174,--,--,--,20202021,2020,N,121,27,28,55
Ben Thomas,D,1996-05-28,0,5,0,0,0,0,0:00,14:14,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-05-28,1996,Calgary,AB,CAN,CAN,73,187,2014,4,119,20202021,2020,N,5,0,0,0
Pierre Engvall,L,1996-05-31,0,151,26,24,50,44,0:17,12:16,2.4,22,22,0,0.71,0.71,0,22,0,0,0,0,L,L,1996-05-31,1996,Ljungby,--,SWE,SWE,77,215,2014,7,188,20192020,2019,N,151,26,24,50
Brady Keeper,D,1996-06-05,0,2,0,0,0,0,0:00,11:04,0,0,0,0,0,0,0,0,0,0,0,0,R,D,1996-06-05,1996,Cross Lake,MB,CAN,CAN,74,197,--,--,--,20182019,2018,N,2,0,0,0
Gustav Forsling,D,1996-06-12,0,221,15,54,69,64,0:17,18:38,1.6,25,32,-7,0.36,0.47,-0.1,32,0,0,0,0,L,D,1996-06-12,1996,Linkoping,--,SWE,SWE,72,186,2014,5,126,20162017,2016,N,221,15,54,69
Ryan Kuffner,L,1996-06-12,0,10,0,0,0,0,0:00,10:56,0,1,0,1,0.55,0,0.55,0,0,0,0,0,L,L,1996-06-12,1996,Ottawa,ON,CAN,CAN,73,186,--,--,--,20182019,2018,N,10,0,0,0
Michael Dal Colle,L,1996-06-20,0,112,8,13,21,18,0:09,11:58,1.3,9,9,0,0.4,0.4,0,9,0,0,0,0,L,L,1996-06-20,1996,Woodbridge,ON,CAN,CAN,75,195,2014,1,5,20172018,2017,N,112,8,13,21
Taro Hirose,L,1996-06-30,0,49,4,15,19,12,0:14,13:08,1.9,6,6,0,0.56,0.56,0,6,0,0,0,0,L,L,1996-06-30,1996,Calgary,AB,CAN,CAN,70,162,--,--,--,20182019,2018,N,49,4,15,19
Egor Korshkov,R,1996-07-10,0,1,1,0,1,0,0:00,10:08,0,0,0,0,0,0,0,0,0,0,0,0,L,R,1996-07-10,1996,Novosibirsk,--,RUS,RUS,76,180,2016,2,31,20192020,2019,N,1,1,0,1
Shane Gersich,L,1996-07-10,0,3,0,1,1,0,0:00,9:01,0,0,0,0,0,0,0,0,0,0,0,0,L,L,1996-07-10,1996,Chaska,MN,USA,USA,71,185,2014,5,134,20172018,2017,N,3,0,1,1
Kevin Fiala,L,1996-07-22,0,401,113,144,257,197,0:29,15:36,3.2,109,92,17,1.04,0.88,0.16,90,1,0,0,1,L,L,1996-07-22,1996,St. Gallen,--,CHE,CHE,70,204,2014,1,11,20142015,2014,N,401,113,144,257
Anders Bjork,L,1996-08-05,0,204,23,28,51,42,0:12,12:44,1.6,26,21,5,0.6,0.48,0.12,21,0,0,0,0,L,L,1996-08-05,1996,Mequon,WI,USA,USA,72,197,2014,5,146,20172018,2017,N,204,23,28,51
Jeff Malott,L,1996-08-07,0,1,0,0,0,2,2:00,4:06,48.8,0,1,-1,0,14.63,-14.63,1,0,0,0,0,L,L,1996-08-07,1996,Burlington,ON,CAN,CAN,75,201,--,--,--,20212022,2021,N,1,0,0,0
Vladislav Kamenev,C,1996-08-12,0,66,3,10,13,20,0:18,9:01,3.4,5,10,-5,0.5,1.01,-0.5,10,0,0,0,0,L,C,1996-08-12,1996,Orsk,--,RUS,RUS,74,194,2014,2,42,20162017,2016,N,66,3,10,13
Giovanni Fiore,R,1996-08-13,0,1,0,0,0,0,0:00,7:53,0,0,0,0,0,0,0,0,0,0,0,0,L,R,1996-08-13,1996,Laval,QC,CAN,CAN,73,188,--,--,--,20172018,2017,N,1,0,0,0
Dan Snyder,C,1978-02-23,0,49,11,5,16,64,1:18,10:44,12.2,--,22,--,--,--,--,17,4,0,0,1,L,C,1978-02-23,1978,Kitchener,ON,CAN,CAN,72,190,--,--,--,20002001,2000,N,49,11,5,16
Kevin Stenlund,C,1996-09-20,0,71,11,9,20,22,0:18,12:53,2.4,15,11,4,0.98,0.72,0.26,11,0,0,0,0,R,C,1996-09-20,1996,Stockholm,--,SWE,SWE,76,211,2015,2,58,20182019,2018,N,71,11,9,20
Dmytro Timashov,L,1996-10-01,0,45,4,5,9,16,0:21,8:30,4.2,7,8,-1,1.1,1.25,-0.16,8,0,0,0,0,L,L,1996-10-01,1996,Kirovograd,--,UKR,UKR,70,192,2015,5,125,20192020,2019,N,45,4,5,9
Alexandre Carrier,D,1996-10-08,0,85,3,25,28,52,0:36,20:03,3.1,20,26,-6,0.7,0.92,-0.21,26,0,0,0,0,R,D,1996-10-08,1996,Quebec City,QC,CAN,CAN,71,174,2015,4,115,20162017,2016,N,85,3,25,28
Cameron Hughes,C,1996-10-09,0,2,0,0,0,0,0:00,12:59,0,0,0,0,0,0,0,0,0,0,0,0,L,C,1996-10-09,1996,Edmonton,AB,CAN,CAN,72,183,2015,6,165,20192020,2019,N,2,0,0,0
Sami Niku,D,1996-10-10,0,67,2,14,16,24,0:21,14:41,2.4,4,12,-8,0.24,0.73,-0.49,12,0,0,0,0,L,D,1996-10-10,1996,Haapavesi,--,FIN,FIN,73,176,2015,7,198,20172018,2017,N,67,2,14,16
Jack Eichel,C,1996-10-28,0,395,146,223,369,150,0:22,20:14,1.9,147,65,82,1.1,0.49,0.62,63,0,0,2,0,R,C,1996-10-28,1996,North Chelmsford,MA,USA,USA,74,213,2015,1,2,20152016,2015,N,395,146,223,369
Mikko Rantanen,R,1996-10-29,0,396,162,232,394,212,0:32,19:21,2.8,131,105,26,1.03,0.82,0.2,105,0,0,0,0,L,R,1996-10-29,1996,Nousiainen,--,FIN,FIN,76,215,2015,1,10,20152016,2015,N,396,162,232,394
Evgeny Svechnikov,L,1996-10-31,0,98,11,19,30,56,0:34,10:42,5.3,10,24,-14,0.57,1.37,-0.8,23,0,0,1,0,L,L,1996-10-31,1996,Yuzhno-Sakhalinsk,--,RUS,RUS,75,208,2015,1,19,20162017,2016,N,98,11,19,30
Jakob Forsbacka Karlsson,C,1996-10-31,0,29,3,6,9,2,0:04,11:40,0.6,1,1,0,0.18,0.18,0,1,0,0,0,0,R,C,1996-10-31,1996,Stockholm,--,SWE,SWE,73,184,2015,2,45,20162017,2016,N,29,3,6,9
Roope Hintz,C,1996-11-17,0,221,71,82,153,64,0:17,16:08,1.8,52,32,20,0.87,0.54,0.34,32,0,0,0,0,L,C,1996-11-17,1996,Tampere,--,FIN,FIN,75,210,2015,2,49,20182019,2018,N,221,71,82,153
Zach Whitecloud,D,1996-11-28,0,113,8,20,28,42,0:22,17:58,2.1,11,20,-9,0.32,0.59,-0.27,20,0,0,0,0,R,D,1996-11-28,1996,Brandon,MB,CAN,CAN,74,208,--,--,--,20172018,2017,N,113,8,20,28
Jeremy Davies,D,1996-12-04,0,19,0,2,2,10,0:31,14:25,3.7,3,5,-2,0.66,1.09,-0.44,5,0,0,0,0,L,D,1996-12-04,1996,Sainte-Anne-de-Bellevue,QC,CAN,CAN,71,180,2016,7,192,20202021,2020,N,19,0,2,2
Kyle Connor,L,1996-12-09,0,372,172,161,333,88,0:14,19:08,1.2,48,39,9,0.4,0.33,0.08,38,0,0,1,0,L,L,1996-12-09,1996,Shelby Township,MI,USA,USA,73,182,2015,1,17,20162017,2016,N,372,172,161,333
Colby Cave,C,1994-12-26,0,67,4,5,9,22,0:19,11:50,2.8,1,11,-10,0.08,0.83,-0.76,11,0,0,0,0,L,C,1994-12-26,1994,Battleford,SK,CAN,CAN,73,200,--,--,--,20172018,2017,N,67,4,5,9
Anthony Richard,C,1996-12-20,0,2,0,0,0,0,0:00,5:46,0,0,0,0,0,0,0,0,0,0,0,0,L,C,1996-12-20,1996,Trois-Rivières,QC,CAN,CAN,70,163,2015,4,100,20182019,2018,N,2,0,0,0
Cooper Marody,C,1996-12-20,0,7,0,1,1,0,0:00,6:47,0,0,0,0,0,0,0,0,0,0,0,0,R,C,1996-12-20,1996,Brighton,MI,USA,USA,72,184,2015,6,158,20182019,2018,N,7,0,1,1
Blake Speers,C,1997-01-02,0,5,0,0,0,2,0:24,9:21,4.3,0,1,-1,0,1.28,-1.28,1,0,0,0,0,R,C,1997-01-02,1997,Sault Ste. Marie,ON,CAN,CAN,71,185,2015,3,67,20162017,2016,N,5,0,0,0
Gabriel Carlsson,D,1997-01-02,0,68,3,11,14,20,0:17,12:38,2.3,5,10,-5,0.35,0.7,-0.35,10,0,0,0,0,L,D,1997-01-02,1997,Orebro,--,SWE,SWE,77,195,2015,1,29,20162017,2016,N,68,3,11,14
Mikhail Vorobyev,C,1997-01-05,0,35,2,3,5,8,0:13,9:57,2.3,1,4,-3,0.17,0.69,-0.52,4,0,0,0,0,L,C,1997-01-05,1997,Ufa,--,RUS,RUS,74,194,2015,4,104,20182019,2018,N,35,2,3,5
Aleksi Saarela,C,1997-01-07,0,9,2,2,4,0,0:00,12:14,0,0,0,0,0,0,0,0,0,0,0,0,L,C,1997-01-07,1997,Helsinki,--,FIN,FIN,70,200,2015,3,89,20192020,2019,N,9,2,2,4
Connor McDavid,C,1997-01-13,0,472,230,441,671,177,0:22,21:39,1.7,238,78,160,1.4,0.46,0.94,75,1,0,0,2,L,C,1997-01-13,1997,Richmond Hill,ON,CAN,CAN,73,193,2015,1,1,20152016,2015,N,473,231,441,672
