Player,Pos,DOB,Total Fights,GP,G,A,P,PIM,PIM/GP,TOI/GP,PIM/TOI%,Pen Drawn,Pen Taken,Net Pen,Pen Drawn/60,Pen Taken/60,Net Pen/60,Minor,Major,Match,Msct,G Msct,S/C,Pos,DOB,Birth City,S/P,Ctry,Ntnlty,Ht,Wt,Draft Yr,Round,Overall,1st Season,1st Season Corrected,HOF,GP,G,A,P
Thomas Gradin,'C',2/18/56,2,677,209,384,593,298,'0:26',--,NaN,NaN,131,NaN,NaN,NaN,NaN,124,4,0,3,0,'R','C',2/18/56,Solleftea,'--','SWE','SWE',71,176,1976,3,45,19781979,1978,'N',677,209,384,593
Larry Carriere,'D',1/30/52,15,366,16,74,90,462,'1:15',--,NaN,NaN,165,NaN,NaN,NaN,NaN,139,16,0,4,6,'L','D',1/30/52,Montreal,'QC','CAN','CAN',73,190,1972,2,25,19721973,1972,'N',366,16,74,90
Bob Manno,'D',10/31/56,4,371,41,132,173,274,'0:44',--,NaN,NaN,115,NaN,NaN,NaN,NaN,107,4,0,3,1,'L','D',10/31/56,Niagara Falls,'ON','CAN','ITA',72,185,1976,2,26,19761977,1976,'N',371,41,132,173
Peter Stastny,'C',9/18/56,18,977,450,789,1239,824,'0:50',--,NaN,NaN,343,NaN,NaN,NaN,NaN,312,22,0,6,3,'L','C',9/18/56,Bratislava,'--','SVK','SVK',73,200,NaN,NaN,NaN,19801981,1980,'Y',977,450,789,1239
Greg Malone,'C',3/8/56,17,704,191,310,501,661,'0:56',--,NaN,NaN,291,NaN,NaN,NaN,NaN,271,17,0,3,0,'L','C',3/8/56,Fredericton,'NB','CAN','CAN',72,189,1976,2,19,19761977,1976,'N',704,191,310,501
Andre Savard,'C',9/2/53,12,790,211,271,482,411,'0:31',--,NaN,NaN,183,NaN,NaN,NaN,NaN,173,7,0,3,0,'L','C',9/2/53,Temiscamingue,'QC','CAN','CAN',72,185,1973,1,6,19731974,1973,'N',790,211,271,482
Marian Stastny,'R',1/8/53,9,322,121,173,294,110,'0:20',--,NaN,NaN,43,NaN,NaN,NaN,NaN,35,8,0,0,0,'L','R',1/8/53,Bratislava,'--','SVK','SVK',70,194,NaN,NaN,NaN,19811982,1981,'N',322,121,173,294
Richard Martin,'L',7/26/51,9,685,384,317,701,477,'0:41',--,NaN,NaN,201,NaN,NaN,NaN,NaN,186,9,0,5,1,'L','L',7/26/51,Verdun,'QC','CAN','CAN',70,180,1971,1,5,19711972,1971,'N',685,384,317,701
Wayne Merrick,'C',4/23/52,6,774,191,265,456,303,'0:23',--,NaN,NaN,133,NaN,NaN,NaN,NaN,124,7,0,1,1,'L','C',4/23/52,Sarnia,'ON','CAN','CAN',72,196,1972,1,9,19721973,1972,'N',774,191,265,456
Bob Murray,'D',7/16/48,3,1008,132,382,514,873,'0:51',--,NaN,NaN,369,NaN,NaN,NaN,NaN,343,15,0,3,8,'R','D',7/16/48,Peterborough,'ON','CAN','CAN',73,195,NaN,NaN,NaN,19731974,1973,'N',194,6,16,22
Yvon Lambert,'L',5/20/50,13,683,206,273,479,340,'0:29',--,NaN,NaN,121,NaN,NaN,NaN,NaN,100,14,0,5,2,'L','L',5/20/50,Drummondville,'QC','CAN','CAN',74,200,1970,3,40,19721973,1972,'N',683,206,273,479
Lew Morrison,'R',2/11/48,4,564,39,52,91,107,'0:11',--,NaN,NaN,45,NaN,NaN,NaN,NaN,40,5,0,0,0,'R','R',2/11/48,Gainsborough,'SK','CAN','CAN',72,185,1968,1,8,19691970,1969,'N',564,39,52,91
Bill Clement,'C',12/20/50,9,719,148,208,356,383,'0:31',--,NaN,NaN,171,NaN,NaN,NaN,NaN,159,11,0,1,0,'L','C',12/20/50,Buckingham,'QC','CAN','CAN',73,194,1970,2,18,19711972,1971,'N',719,148,208,356
Rick Smith,'D',6/29/48,8,687,52,167,219,558,'0:48',--,NaN,NaN,258,NaN,NaN,NaN,NaN,248,8,0,1,1,'L','D',6/29/48,Kingston,'ON','CAN','CAN',70,200,1966,2,7,19681969,1968,'N',687,52,167,219
Bill Hajt,'D',11/18/51,3,854,42,202,244,433,'0:30',--,NaN,NaN,195,NaN,NaN,NaN,NaN,189,1,0,4,1,'L','D',11/18/51,Borden,'SK','CAN','CAN',75,215,1971,3,33,19731974,1973,'N',854,42,202,244
Randy Manery,'D',1/10/49,5,582,50,206,256,415,'0:42',--,NaN,NaN,192,NaN,NaN,NaN,NaN,185,5,0,0,2,'R','D',1/10/49,Leamington,'ON','CAN','CAN',72,185,NaN,NaN,NaN,19701971,1970,'N',582,50,206,256
Bill Collins,'R',7/13/43,5,768,157,154,311,415,'0:32',--,NaN,NaN,144,NaN,NaN,NaN,NaN,125,5,0,11,3,'R','R',7/13/43,Ottawa,'ON','CAN','CAN',73,178,NaN,NaN,NaN,19671968,1967,'N',768,157,154,311
Borje Salming,'D',4/17/51,3,1148,150,637,787,1344,'1:10',--,NaN,NaN,614,NaN,NaN,NaN,NaN,597,4,0,12,1,'L','D',4/17/51,Kiruna,'--','SWE','SWE',73,193,NaN,NaN,NaN,19731974,1973,'Y',1148,150,637,787
